name,date,a,b,c,d,price
SB71,1/1/2015,56.4171,57.6086,0,57.0881,18964000
AAMRATECH,1/1/2015,36.7,38,36.5,37.6,560965
ABBANK,1/1/2015,30.3,31,30.3,30.8,897166
ACI,1/1/2015,389.9,395,386.1,387.3,50714
ACIFORMULA,1/1/2015,127.5,132,127.5,129.2,148327
ACTIVEFINE,1/1/2015,74.3,75,73.7,74,581290
AFCAGRO,1/1/2015,48.9,50.8,48.9,50.2,110829
AFTABAUTO,1/1/2015,67.9,70.3,66.3,69.9,126225
AGNISYSL,1/1/2015,32.6,34.3,32.6,33.4,2489810
AGRANINS,1/1/2015,18.6,19.1,18.6,18.8,2807
AL-HAJTEX,1/1/2015,95.9,102.9,95.9,102.9,83376
ALARABANK,1/1/2015,15,15.7,15,15.3,359752
AMBEEPHA,1/1/2015,250.1,262.8,250.1,260.3,760
AMCL(PRAN),1/1/2015,197,203.3,197,201.8,9971
ANLIMAYARN,1/1/2015,22,22.6,22,22.4,41080
APEXFOODS,1/1/2015,96.9,98.9,95,98.1,15962
APEXFOOT,1/1/2015,454.9,454.9,442,443.1,2713
APEXSPINN,1/1/2015,71.8,71.8,69.5,69.9,13005
APEXTANRY,1/1/2015,140,140.2,138,139.4,11078
ARAMIT,1/1/2015,285,286,280,284.5,983
ARAMITCEM,1/1/2015,39,39.1,39,39,11735
ARGONDENIM,1/1/2015,41.3,42.4,41,41.8,177982
ASIAINS,1/1/2015,21.5,22.7,21.5,22.5,33442
ASIAPACINS,1/1/2015,19.2,19.8,19.2,19.7,4980
ATLASBANG,1/1/2015,135.6,140.4,135.6,139.5,2791
BANGAS,1/1/2015,289.9,289.9,285,287,9087
BANKASIA,1/1/2015,17.9,17.9,16.7,16.9,155793
BATASHOE,1/1/2015,1189,1189,1147,1165,505
BATBC,1/1/2015,2669,2669,2640,2661,160
BAYLEASING,1/1/2015,30.3,31,29.8,30.7,82077
BBS,1/1/2015,46.4,47.5,46.2,47.2,198136
BDCOM,1/1/2015,24,24.5,23.8,24,98456
BDFINANCE,1/1/2015,15.9,16,15.7,15.9,120424
BDLAMPS,1/1/2015,118.1,120.4,117.3,118.3,10143
BEACHHATCH,1/1/2015,25.2,25.5,25,25.3,230474
BARKAPOWER,1/1/2015,33.3,34.2,33.1,33.9,619838
BENGALWTL,1/1/2015,59.9,62,58,58.9,350877
BERGERPBL,1/1/2015,1465,1475,1405,1431.3,1159
BEXIMCO,1/1/2015,36.6,37.5,36.5,37.3,878565
BGIC,1/1/2015,21.3,21.7,21.3,21.6,43553
BRACBANK,1/1/2015,37.1,37.3,36.8,37,413457
BSC,1/1/2015,493,514,493,509.5,7405
BSCCL,1/1/2015,117.6,118.8,116.7,117.9,78529
BSRMSTEEL,1/1/2015,91.8,91.8,88.3,89.6,72279
BXPHARMA,1/1/2015,59.9,62.6,59.6,62.1,1249190
CENTRALINS,1/1/2015,24.2,24.3,24.1,24.1,5232
CENTRALPHL,1/1/2015,28.9,29.9,28.8,29.6,324317
CITYBANK,1/1/2015,21.8,22.2,21.8,22,1000600
CITYGENINS,1/1/2015,18.2,19.2,18.2,18.9,36887
CMCKAMAL,1/1/2015,20.6,21,20.6,20.8,107164
CONFIDCEM,1/1/2015,107.8,109,106.7,108.5,40578
CONTININS,1/1/2015,21,21,20.1,20.6,11591
DACCADYE,1/1/2015,14.3,14.5,14.3,14.4,127007
DBH,1/1/2015,70.2,71.8,70.2,71.5,13915
DELTALIFE,1/1/2015,150.4,153.8,150.4,152.9,96473
DELTASPINN,1/1/2015,14.1,14.2,13.9,14.1,413287
DESCO,1/1/2015,70,71.6,69.6,70.9,694480
DESHBANDHU,1/1/2015,21.4,22,21.4,21.6,516165
DHAKABANK,1/1/2015,18.6,19.3,18.6,19,386659
DHAKAINS,1/1/2015,26.2,26.5,26.2,26.4,4744
DUTCHBANGL,1/1/2015,105.9,111,105.9,106.6,69915
EASTERNINS,1/1/2015,33.3,34,33.3,33.6,3720
EASTLAND,1/1/2015,33.8,34.1,33.6,33.9,103108
EASTRNLUB,1/1/2015,400,408,400,405.2,1190
EBL,1/1/2015,26.8,27.5,26.8,27.2,44673
EHL,1/1/2015,46.6,47.5,46.5,47.1,138916
ENVOYTEX,1/1/2015,52.1,52.2,50.5,52,20566
EXIMBANK,1/1/2015,11.4,11.5,11.1,11.3,1118070
FAMILYTEX,1/1/2015,22,22.2,21.9,22,588111
FARCHEM,1/1/2015,30,30,29.2,29.5,128056
FAREASTLIF,1/1/2015,74.6,75.6,74.6,75.4,14586
FEDERALINS,1/1/2015,16.7,17.2,16.7,17.1,29822
FEKDIL,1/1/2015,27.5,28.2,26.6,28,293294
FIRSTSBANK,1/1/2015,10.9,11.1,10.8,10.8,177394
FIRSTFIN,1/1/2015,19.8,20,19.6,19.8,97817
FUWANGCER,1/1/2015,14.9,14.9,14.5,14.5,355868
FUWANGFOOD,1/1/2015,23.6,24.9,23.6,24.5,942297
GBBPOWER,1/1/2015,23.5,24.1,23.4,23.9,214588
GENNEXT,1/1/2015,15.5,15.5,15.1,15.3,652157
GHAIL,1/1/2015,27.3,27.9,27.3,27.6,28250
GHCL,1/1/2015,42.5,42.7,42,42.4,28100
GLAXOSMITH,1/1/2015,1521,1556.9,1521,1536.2,820
GLOBALINS,1/1/2015,17.3,17.9,17.2,17.7,8571
GOLDENSON,1/1/2015,45.5,46.8,45.3,46.5,464234
GP,1/1/2015,364,365,360.5,364.3,155125
GPHISPAT,1/1/2015,45.8,46.8,45.6,46.1,33392
GQBALLPEN,1/1/2015,106.6,108.7,106.6,107.4,7232
GREENDELT,1/1/2015,74,75.4,73.9,74.1,3289
GSPFINANCE,1/1/2015,33.4,33.7,32.3,32.7,513754
HEIDELBCEM,1/1/2015,498,509.9,497.2,504,4411
HRTEX,1/1/2015,28.5,29.5,28.5,29.2,17652
IBNSINA,1/1/2015,99.6,101.5,99.6,100.8,3224
ICB,1/1/2015,1365,1389,1365,1380.1,1950
IDLC,1/1/2015,75.5,76.4,74.6,76.2,683282
IFIC,1/1/2015,26.1,26.6,25.7,25.9,166275
INTECH,1/1/2015,13.6,13.7,13.5,13.6,51555
IPDC,1/1/2015,18.9,18.9,18.1,18.6,66474
ISLAMIBANK,1/1/2015,24.8,24.8,23.7,24.1,127860
ISLAMICFIN,1/1/2015,18.3,18.6,18.1,18.5,177223
ISLAMIINS,1/1/2015,20.6,21.4,20.6,20.7,603
JAMUNABANK,1/1/2015,12.3,13.1,12.3,12.9,140654
JAMUNAOIL,1/1/2015,207,208.9,206.1,208.3,194334
JANATAINS,1/1/2015,16,16.5,16,16.3,4291
JMISMDL,1/1/2015,164.3,177,164.3,173.5,74619
KARNAPHULI,1/1/2015,17.1,17.9,17.1,17.8,3709
KOHINOOR,1/1/2015,350.8,365,350.8,352.8,1522
KPCL,1/1/2015,57.1,60.5,56.8,59.8,656968
LANKABAFIN,1/1/2015,45,46,44.5,45.8,144088
LIBRAINFU,1/1/2015,387,389,387,387.6,49
LINDEBD,1/1/2015,930,949,900,916.8,2157
MALEKSPIN,1/1/2015,18.9,19,18.1,18.5,163856
MARICO,1/1/2015,1125,1135,1120,1124.6,1183
MATINSPINN,1/1/2015,43.9,43.9,41.9,42.2,33440
MEGHNACEM,1/1/2015,122.6,125.9,121.8,123.9,15571
MEGHNALIFE,1/1/2015,92.9,92.9,88,88.7,38252
MERCANBANK,1/1/2015,13.7,13.9,13.6,13.7,445252
MERCINS,1/1/2015,17.3,17.5,17,17.1,15225
MHSML,1/1/2015,27.5,28.2,27.3,27.7,453132
MICEMENT,1/1/2015,72.5,76.7,72.1,75.3,222281
MITHUNKNIT,1/1/2015,71.5,72.5,70,70.8,34505
MJLBD,1/1/2015,125.5,129.1,125,128.1,861909
MONNOSTAF,1/1/2015,299.8,299.9,299.8,299.9,520
MPETROLEUM,1/1/2015,214.8,216,212,214.6,42976
MTB,1/1/2015,19.6,20.3,19.6,20.1,99351
NATLIFEINS,1/1/2015,239.7,239.7,235.3,237.1,2466
NAVANACNG,1/1/2015,66.2,67,65.7,66.3,113072
NBL,1/1/2015,12,12.2,11.6,11.7,2273650
NCCBANK,1/1/2015,11.4,11.5,11.1,11.2,299071
NHFIL,1/1/2015,28.8,29.3,28.5,28.7,12210
NITOLINS,1/1/2015,28.9,29.6,28.5,28.8,25258
NORTHRNINS,1/1/2015,27.7,29,27.7,28.4,26635
NPOLYMAR,1/1/2015,66.4,68.9,66.4,67.7,37643
NTC,1/1/2015,700,720,700,709.6,618
NTLTUBES,1/1/2015,116,117,115.5,116.1,18706
OLYMPIC,1/1/2015,226.5,235,226.5,232,118079
